99.94,136.3,87.75,75.19,62.51,133.7,154,
91.33,117.9,84.35,50.63,56.41,113.9,238.1,
70.75,105,63.14,35.13,36.04,80.73,141.2,
-0.292075245,-0.229640499,-0.28045584,-0.532783615,-0.423452248,-0.39618549,-0.083116883,-0.319672831
-0.225336691,-0.109414758,-0.251452282,-0.306142603,-0.361106187,-0.291220369,-0.406971861,-0.278806393
,,,,,,,
2.541,3.433,7.482,6.115,5.011,3.341,8.459,
2.476,1.801,2.655,2.869,2.259,1.335,2.117,
1.026,0.795,1.047,1.428,1.068,1.064,1.352,
-0.59622196,-0.768424119,-0.860064154,-0.766475879,-0.786868888,-0.681532475,-0.840170233,-0.757108244
-0.585621971,-0.558578567,-0.605649718,-0.502265598,-0.527224436,-0.202996255,-0.361360416,-0.477670994
,,,,,,,
86.8,87.6,88.4,88,85.8,91.5,89.2,88.18571429
90.6,92.4,91,90.2,91.2,93.7,91.3,91.48571429
91,92.4,89.4,89.4,91.8,94.5,91.1,91.37142857
,,,,,,,3.508639456
,,,,,,,
8.76,7.76,5.59,7.89,18.8,15.8,15.3,
8.12,6.25,6.75,13.1,16.5,15.5,17.1,
7.27,6.25,6.63,10.8,7.41,9.62,13.1,
-0.170091324,-0.194587629,0.186046512,0.368821293,-0.605851064,-0.391139241,-0.14379085,-0.1357989
-0.104679803,0,-0.017777778,-0.175572519,-0.550909091,-0.379354839,-0.233918129,-0.208887451
,,,,,,,
132.3,179.8,75.4,106.8,50.46,174.2,291,
69.74,125.7,63.44,52.86,50.46,108.9,213.4,
85.37,106.3,63.14,48.23,46.26,87.86,155.5,
70.75,105,63.14,35.13,36.04,80.73,141.2,
-0.472864701,-0.300889878,-0.15862069,-0.50505618,0,-0.374856487,-0.266666667,-0.296993515
-0.354724112,-0.408787542,-0.162599469,-0.54840824,-0.083234245,-0.495637199,-0.465635739,-0.359860935
-0.465230537,-0.416017798,-0.162599469,-0.671067416,-0.285770908,-0.536567164,-0.514776632,-0.436004275
,,,,,,,
2.824,0.924,1.228,2.095,1.084,1.07,12.93,
1.306,0.747,0.848,1.724,0.887,0.819,11.765,
1.269,0.782,0.874,1.277,0.96,0.969,8.289,
-0.550637394,-0.153679654,-0.288273616,-0.390453461,-0.114391144,-0.094392523,-0.358932715,-0.278680072
-0.537535411,-0.191558442,-0.309446254,-0.177088305,-0.181734317,-0.234579439,-0.090100541,-0.246006101